ticker,price,wk52_high,wk52_low,pos_in_range,rsi,sector,pe,tier,permanent_exit,error,ivr,entry_ok,held,held_accounts,held_puts,held_calls,real_yield
META,589.85,785.23,525.72,24.7,48.8,Communication Services,22.224941,CORE,False,,78.4,True,True,Account A (232):1; Fidelity (Rahul):3,4,0,"{'strike': 500.0, 'dte': 27, 'premium': 84.5, 'collateral': 50000.0, 'annualized_pct': np.float64(2.3)}"
MA,569.29,598.96,471.55,76.7,63.6,Financial Services,31.348568,Unmapped,False,,39.4,False,True,Account A (232):1,1,0,
LLY,1180.16,1235.56,695.33,89.7,47.3,Healthcare,39.682583,Unmapped,False,,34.4,False,True,Account A (232):1,1,0,
LITE,926.14,1053.09,115.86,86.5,64.5,Technology,,Unmapped,False,,78.6,True,True,Account A (232):2; Vanguard (Rahul):1,3,0,
LASR,52.6,84.95,25.96,45.2,38.1,Technology,,Unmapped,False,,99.6,True,True,Fidelity (Rahul):1; Robinhood (Traditional IRA):1,1,0,
LAC,3.38,10.05,2.71,9.1,71.1,Basic Materials,,Unmapped,False,,6.5,False,False,,0,0,
KTOS,64.58,130.72,43.88,23.8,76.7,Industrials,379.88235,Unmapped,False,,44.7,True,False,,0,0,"{'strike': 55.0, 'dte': 27, 'premium': 100.0, 'collateral': 5500.0, 'annualized_pct': np.float64(24.6)}"
JPM,362.84,365.18,282.84,97.2,57.8,Financial Services,15.552507,Unmapped,False,,33.2,False,True,Account A (232):2,2,0,
JD,29.06,36.17,25.19,35.2,38.0,Consumer Cyclical,19.635134,Unmapped,False,,70.1,True,True,Account A (232):5; Fidelity (Rahul):1,3,3,
IONQ,46.26,82.09,26.59,35.4,69.6,Technology,,SPECULATIVE,False,,49.4,True,True,Account A (232):3; Account B (275):1; Account C (634):1; Fidelity (Rajul — Rollover IRA):1,4,2,
INTC,102.5,140.94,23.5,67.3,61.5,Technology,,Unmapped,False,,55.0,True,False,,0,0,
IBN,29.74,33.33,25.2,55.8,47.8,Financial Services,18.358025,Unmapped,False,,38.8,False,False,,0,0,
HUT,85.44,133.02,21.37,57.4,38.5,Financial Services,,SPECULATIVE,False,,72.3,True,True,Account B (275):1; Account C (634):1,2,0,
HOOD,95.56,152.46,65.16,34.8,49.9,Financial Services,44.036865,EMERGING,False,,34.6,False,True,Fidelity (Rahul):1,1,0,
HDB,23.37,37.72,23.01,2.4,52.9,Financial Services,16.229166,Unmapped,False,,89.9,True,False,,0,0,"{'strike': 20.0, 'dte': 34, 'premium': 5.0, 'collateral': 2000.0, 'annualized_pct': np.float64(2.7)}"
GOOG,343.54,399.04,200.19,72.1,59.2,Communication Services,17.237331,Unmapped,False,,91.2,True,False,,0,0,
GEV,1063.25,1174.86,547.96,82.2,60.6,Industrials,30.120398,CORE,False,,51.3,True,True,Account A (232):2; Fidelity (Rahul):1,3,0,
EXPE,332.69,332.69,188.51,100.0,76.3,Consumer Cyclical,20.9239,EMERGING,False,,28.3,False,True,Account A (232):1; Account B (275):1; Fidelity (Rajul — Rollover IRA):1,3,0,
ETN,451.51,459.96,315.82,94.1,67.5,Industrials,46.07245,Unmapped,False,,70.2,True,False,,0,0,
ELF,91.44,146.67,49.57,43.1,61.8,Consumer Defensive,93.30612,Unmapped,False,,21.9,False,True,Account A (232):2; Account B (275):1; Fidelity (Rahul):1,4,0,
CRWV,105.26,143.08,60.82,54.0,71.1,Technology,,Unmapped,False,,85.5,True,True,Account B (275):1,1,0,
CRWD,216.95,225.53,87.56,93.8,75.1,Technology,,CORE,False,,74.2,True,True,Account A (232):2; Account C (634):1,3,0,
COST,961.1,1094.32,850.0,45.5,54.8,Consumer Defensive,48.320763,Unmapped,False,,53.9,True,False,,0,0,
COIN,148.47,387.27,141.09,3.0,34.9,Financial Services,,EMERGING,False,,30.5,False,True,Account A (232):7; Fidelity (Rahul):3; Fidelity (Rajul — Roth IRA):1; Robinhood (Traditional IRA):1; Vanguard (Rahul):1,4,8,
CIFR,17.85,29.18,5.21,52.8,41.7,Technology,,SPECULATIVE,False,,96.3,True,True,Account B (275):2; Fidelity (Rahul):2; Fidelity (Rajul — Rollover IRA):1; Robinhood (Traditional IRA):1,5,0,
CCL,28.12,33.99,23.89,41.9,57.2,Consumer Cyclical,12.666667,Unmapped,False,,29.9,False,True,Robinhood (Traditional IRA):1,0,0,
CCJ,97.74,134.09,70.47,42.9,66.3,Energy,168.51724,Unmapped,False,,11.3,False,True,Account B (275):1; Account C (634):1; Fidelity (Rahul):1,3,0,
BWXT,173.22,238.42,157.44,19.5,47.0,Industrials,44.87565,Unmapped,False,,44.4,True,True,Account B (275):1; Fidelity (Rajul — Rollover IRA):1,2,0,"{'strike': 145.0, 'dte': 34, 'premium': 104.99999999999999, 'collateral': 14500.0, 'annualized_pct': np.float64(7.8)}"
