ticker,price,wk52_high,wk52_low,pos_in_range,rsi,sector,pe,tier,permanent_exit,error
BABA,123.81,189.34,94.81,30.7,63.0,Consumer Cyclical,18.989264,Unmapped,False,
BA,231.67,252.15,179.12,72.0,64.4,Industrials,83.33453,Unmapped,False,
AXON,612.83,791.62,345.94,59.9,61.4,Industrials,256.4142,EMERGING,False,
ASTS,70.98,133.09,36.91,35.4,65.1,Technology,,SPECULATIVE,False,
ASML,1844.08,1989.44,725.85,88.5,67.7,Technology,62.89495,Unmapped,False,
APP,315.44,733.6,303.76,2.7,26.9,Communication Services,24.264616,EMERGING,False,
APH,167.11,176.32,108.65,86.4,68.9,Technology,41.882206,Unmapped,False,
ANET,198.82,210.5,116.13,87.6,64.9,Technology,62.91772,Unmapped,False,
AMZN,262.65,284.02,198.79,74.9,66.4,Consumer Cyclical,21.147343,CORE,False,
AMKR,58.99,93.55,23.0,51.0,48.0,Technology,26.452915,Unmapped,False,
ALB,136.15,215.62,72.58,44.4,77.8,Basic Materials,504.25922,Unmapped,False,
ALAB,321.61,483.02,100.27,57.8,58.2,Technology,158.42857,EMERGING,False,
ABNB,184.06,185.13,111.54,98.5,82.5,Consumer Cyclical,42.215595,EMERGING,False,
ABBV,249.46,263.3,197.38,79.0,41.0,Healthcare,70.468925,Unmapped,False,
AAPL,305.93,340.08,224.9,70.4,26.0,Technology,35.083714,Unmapped,False,
